N,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time
1,1.2886509895,1.2894849777,1.3020918369,1.2770061493,1.3091809750,1.2798709869,1.2994098663,1.3562309742,1.2916309834,1.2852101326,1.2976760864,1.2995128632,1.3268609047,1.3295741081,1.2600800991,1.2905001640,1.2853448391,1.2822930813,1.3054389954,1.2706160545
2,0.6401839256,0.6503272057,0.6611101627,0.6575949192,0.6596579552,0.6413528919,0.6472718716,0.6445400715,0.6405768394,0.6361432076,0.6488020420,0.6243321896,0.6674921513,0.6476519108,0.6698529720,0.6366548538,0.6581029892,0.6706500053,0.6422219276,0.6446120739
3,0.4815979004,0.5042428970,0.4880471230,0.4886019230,0.4903869629,0.4843060970,0.4948339462,0.4801411629,0.4868588448,0.4860789776,0.5107359886,0.4823050499,0.4879798889,0.4752879143,0.4850490093,0.4920008183,0.4863581657,0.4874849319,0.5131919384,0.5139658451
4,0.3751530647,0.3727040291,0.3670270443,0.3775000572,0.3701770306,0.3740079403,0.3669459820,0.3677530289,0.3831870556,0.3592190742,0.3780419827,0.3663280010,0.3655869961,0.3812279701,0.3794109821,0.3776419163,0.3688340187,0.3885600567,0.3799068928,0.3717138767
5,0.3047478199,0.3069019318,0.3067829609,0.3027420044,0.3048968315,0.3006510735,0.3010649681,0.3026978970,0.3107130527,0.3044240475,0.3126080036,0.2898921967,0.3074631691,0.2965829372,0.3013720512,0.3070771694,0.2994809151,0.3169159889,0.3057618141,0.3026177883
6,0.2563710213,0.2640738487,0.2637369633,0.2636477947,0.2575070858,0.2648727894,0.2672810555,0.2682011127,0.2709851265,0.2616541386,0.2615160942,0.2632758617,0.2653980255,0.2649350166,0.2605609894,0.2614970207,0.2613830566,0.2611460686,0.2641541958,0.2565028667
7,0.2213330269,0.2256250381,0.2161288261,0.2215750217,0.2165400982,0.2190568447,0.2196879387,0.2199258804,0.2425861359,0.2240982056,0.2167031765,0.2206091881,0.2248890400,0.2173159122,0.2240240574,0.2273621559,0.2135639191,0.2247071266,0.2199690342,0.2240080833
8,0.1929430962,0.1946811676,0.1955418587,0.1979050636,0.2008368969,0.1934990883,0.1987659931,0.1973869801,0.1907000542,0.1973700523,0.1944718361,0.1959750652,0.1974658966,0.1935858727,0.1936240196,0.1908009052,0.2042520046,0.1960639954,0.1935720444,0.1934649944
9,0.1683080196,0.1722910404,0.1748199463,0.1725959778,0.1707890034,0.1734890938,0.1740272045,0.1757690907,0.1746690273,0.1703200340,0.1828639507,0.1706869602,0.1676380634,0.1800119877,0.1724858284,0.1704401970,0.1776509285,0.1674051285,0.1856079102,0.1670989990
10,0.1571340561,0.1601340771,0.1551470757,0.1576020718,0.1603360176,0.1587789059,0.1538610458,0.1542601585,0.1546800137,0.1553149223,0.1606171131,0.1563968658,0.1577248573,0.1601941586,0.1550090313,0.1519310474,0.1575391293,0.1557340622,0.1637418270,0.1569681168
11,0.1456699371,0.1451308727,0.1498298645,0.1442968845,0.1441822052,0.1488840580,0.1449079514,0.1470589638,0.1468410492,0.1441850662,0.1435239315,0.1436979771,0.1436679363,0.1437358856,0.1442658901,0.1431100368,0.1423728466,0.1426968575,0.1427710056,0.1441168785
12,0.1332390308,0.1493799686,0.1330068111,0.1338188648,0.1349079609,0.1372449398,0.1336550713,0.1340110302,0.1351039410,0.1353359222,0.1369318962,0.1317539215,0.1349999905,0.1364600658,0.1349589825,0.1373109818,0.1335699558,0.1403069496,0.1388251781,0.1336739063
