N,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time
1,1.2979638577,1.2877051830,1.2801890373,1.2907330990,1.2975919247,1.2617878914,1.3536620140,1.2805562019,1.3051640987,1.2917110920,1.2812778950,1.2858209610,1.2821938992,1.3074018955,1.3062081337,1.2924039364,1.3610777855,1.2814350128,1.3084099293,1.2823500633
2,1.2885899544,1.2694330215,1.2418091297,1.3123040199,1.2685518265,1.2811000347,1.2582631111,1.3165249825,1.3534510136,1.2846570015,1.2874009609,1.3258252144,1.2956449986,1.2719578743,1.2780539989,1.3194501400,1.2848072052,1.2663118839,1.3035421371,1.2984771729
3,1.4723420143,1.4747219086,1.4440941811,1.4401328564,1.5110027790,1.4202198982,1.4565749168,1.4492690563,1.4332270622,1.4735188484,1.4523508549,1.4682409763,1.4622750282,1.4693729877,1.4305880070,1.4899718761,1.4905540943,1.4766428471,1.4510350227,1.4747340679
4,1.5625507832,1.4872500896,1.4692881107,1.4946870804,1.4818940163,1.4980840683,1.4958059788,1.4872050285,1.4853909016,1.4651010036,1.5250070095,1.4750590324,1.5050849915,1.5326840878,1.4745061398,1.4925270081,1.5515248775,1.5075979233,1.4890398979,1.4971609116
5,1.5649499893,1.4779319763,1.5291261673,1.5235180855,1.5378680229,1.5138590336,1.5029759407,1.5291311741,1.5017020702,1.5157589912,1.5335781574,1.5540180206,1.5339250565,1.5353698730,1.5141558647,1.4932858944,1.5360729694,1.5097248554,1.5342509747,1.5347681046
6,1.5184621811,1.5652470589,1.5059428215,1.5227990150,1.5627098083,1.5765869617,1.5551381111,1.5587301254,1.5852408409,1.5630137920,1.5776998997,1.5630569458,1.5761690140,1.5491330624,1.5790348053,1.5985591412,1.5341160297,1.5250527859,1.5739359856,1.5277910233
7,1.6019070148,1.5086870193,1.5409960747,1.5459630489,1.5500750542,1.5230631828,1.5146939754,1.5256750584,1.5547819138,1.6148211956,1.5137629509,1.5525519848,1.5111110210,1.5285401344,1.6025631428,1.5905790329,1.6273760796,1.5379550457,1.5970749855,1.5281510353
8,1.5840439796,1.6323511600,1.5510430336,1.5111420155,1.5557990074,1.5991129875,1.6109590530,1.5415601730,1.5956289768,1.5530111790,1.5446848869,1.5192518234,1.5557899475,1.5052809715,1.5128049850,1.5064191818,1.6405138969,1.5447039604,1.5479478836,1.5178480148
9,1.5639989376,1.5645880699,1.5832209587,1.5457210541,1.5558519363,1.5415511131,1.5395760536,1.5233581066,1.5497939587,1.5842881203,1.5582139492,1.5743138790,1.6078040600,1.5566167831,1.5796680450,1.5521910191,1.6116590500,1.5781700611,1.6003520489,1.5593199730
10,1.5823609829,1.6083059311,1.5741050243,1.5573248863,1.5762300491,1.6392560005,1.5689098835,1.5862779617,1.5858418941,1.6217439175,1.5557129383,1.5973091125,1.5610759258,1.5593819618,1.5707390308,1.5635390282,1.5487191677,1.5807039738,1.5867390633,1.6046679020
11,1.6220691204,1.6033759117,1.5763599873,1.5843529701,1.5749161243,1.5968990326,1.6153140068,1.6198420525,1.5496799946,1.5646400452,1.6039659977,1.6274518967,1.5639448166,1.5885889530,1.6023871899,1.6067700386,1.5603389740,1.6423628330,1.6096060276,1.5640659332
12,1.6021580696,1.6249480247,1.6220569611,1.6200790405,1.6701548100,1.6589629650,1.6049709320,1.6087539196,1.6082019806,1.6226780415,1.6600048542,1.5905699730,1.6237428188,1.5934600830,1.6866371632,1.7042839527,1.6247661114,1.6381390095,1.6455810070,1.6240799427
