N,time,time,time,time,time,time,time,time,time,time
1,13.8508110046,13.6549768448,14.1986780167,13.7109439373,13.5759689808,13.5640099049,13.6690790653,13.6377279758,13.6528868675,11.0921730995
2,12.1169381142,11.4595351219,11.7065870762,11.6552639008,11.6500148773,11.8571920395,11.6591999531,10.7084538937,10.7566900253,11.2365939617
3,12.3158719540,12.1162750721,12.2600548267,11.8917138577,12.0622589588,11.9371321201,11.4952659607,11.7714829445,11.8821139336,11.5848309994
4,15.0906569958,14.8728928566,14.8452219963,14.9222710133,14.8435359001,14.7660498619,14.7781591415,14.6230258942,14.8857960701,14.9286999702
5,14.9041240215,14.9663660526,14.7044961452,14.7606930733,14.7506577969,14.7330529690,14.8622260094,15.1962790489,15.1526980400,14.9867420197
6,14.9934511185,15.0269670486,15.2998900414,15.1170251369,15.0552020073,15.1059279442,15.1928458214,15.2827529907,15.0651559830,15.1549961567
7,15.3185169697,15.1230509281,15.3154790401,15.2720601559,15.1488800049,15.0833728313,14.9600172043,14.9556241035,15.6923799515,15.2378599644
8,15.2746608257,15.6965489388,15.0922839642,15.4144270420,15.4712040424,15.2990329266,15.3649690151,15.2593729496,15.2092208862,15.2741270065
9,15.3277649879,15.4343960285,15.3875350952,15.4036328793,15.3699848652,15.9740447998,15.9192509651,15.4122281075,15.4406740665,15.2964861393
10,15.9639599323,15.7466108799,16.1612069607,15.8977260590,16.1434500217,16.1504380703,15.6251749992,16.2055499554,15.9066379070,15.9090838432
11,16.3180799484,16.3554968834,16.1591289043,16.5734028816,16.0932450294,16.7012529373,16.7062721252,16.2897510529,16.6144709587,16.1511130333
12,17.7766931057,17.3192059994,17.0023479462,17.0629050732,16.6714339256,16.9609930515,16.9679739475,16.9289660454,16.7055110931,16.8095400333
