N,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time
1,133.2479569912,131.7111198902,132.0678520203,135.2886798382,133.4783999920,133.1251640320,132.1058940887,131.3251149654,127.8055479527,130.7544400692,133.3270540237,133.4064779282,130.0795509815,131.4199428558,128.1025848389,133.0588860512,132.3084850311,131.6114180088,131.6728880405,130.4234850407,131.3629930019,137.8298091888,135.6363258362,131.5117239952,132.3264548779,132.9875009060,131.3140518665,132.6191370487,128.6013369560,133.3925809860,137.3946897984,129.1828069687,132.9541821480,131.9852879047,128.5742959976,133.6280219555,135.5991089344,132.9040880203,132.0409419537,132.1895570755,131.6194000244,130.4842820168,130.4395868778,130.3615539074,130.9052469730,135.2099149227,130.5359201431,134.1649818420,131.7606558800,137.5160059929
2,66.9160988331,66.6512410641,67.1233720779,66.7692520618,66.2550120354,68.1146168709,66.2633779049,65.9617280960,66.3997340202,67.0210621357,66.6001760960,66.5744440556,67.3060259819,66.8097238541,66.0072929859,66.6826570034,66.8021810055,67.7529821396,66.5944521427,68.7937760353,68.3408389091,67.1470108032,66.1832640171,66.3074340820,66.7835278511,67.0427370071,67.1952888966,65.9760391712,66.2857751846,65.6917960644,65.8676750660,66.0077369213,65.2328350544,66.9712290764,69.1768929958,64.8234980106,67.6020832062,66.3629231453,66.5488820076,66.3109781742,66.3204970360,66.5506880283,67.5344800949,67.0713779926,66.4701440334,66.6344990730,66.8908979893,68.9921491146,67.0175700188,67.2371549606
3,45.2828199863,45.3375718594,44.9865121841,44.6694209576,45.2273888588,44.2975730896,45.5768628120,45.1682009697,44.5359690189,45.6515958309,44.5057790279,47.5090160370,44.1425819397,45.1751379967,45.5795218945,44.9421889782,45.8373270035,45.1099309921,44.3925180435,44.1785001755,45.3151321411,46.3653378487,44.7469840050,46.0168728828,44.8832509518,44.5611629486,45.0526888371,44.9553830624,45.0245668888,45.1056039333,45.1709580421,45.0997459888,45.6672461033,46.2040169239,44.7572510242,45.0608689785,45.0750949383,44.4760401249,44.6815729141,44.6117479801,45.2879621983,45.0961899757,44.5411770344,44.9942221642,44.5226309299,45.4196410179,44.6690800190,44.4265201092,45.5166389942,44.1931130886
4,34.3246991634,34.5036568642,35.8890719414,34.3608691692,35.2075901031,35.0129921436,34.3171470165,34.8591980934,34.8958029747,34.0637328625,34.7493708134,34.0609068871,35.3076639175,34.1562020779,33.4866070747,34.5954489708,35.2214641571,35.0336871147,34.7217419147,34.1074819565,34.3461999893,34.8551471233,34.3858878613,34.4324150085,34.5518229008,35.0891330242,35.6679608822,35.0976557732,34.3964691162,34.5036139488,33.9031610489,34.3866369724,35.2008330822,34.5006861687,34.4543600082,34.3591139317,37.1993398666,36.3198280334,35.2795910835,34.4824540615,33.5398738384,35.2432758808,34.7124700546,34.4692280293,35.1150510311,34.5718979836,34.4420900345,33.2744040489,34.3407361507,36.1044871807
5,28.3199508190,29.5127060413,28.5192248821,28.4565911293,28.4291889668,29.0328559875,28.9316880703,28.4458580017,28.6779561043,28.3181478977,28.6349039078,29.3125560284,28.2861638069,28.5008699894,29.5800638199,28.2821519375,29.6764431000,28.8664271832,29.0779991150,28.7742929459,29.5125820637,29.3798370361,28.7863659859,29.2302010059,28.9342820644,28.3478698730,28.4647710323,28.6733088493,28.8890798092,28.6313560009,28.9429459572,27.8335008621,27.5514318943,28.2482202053,28.7900671959,27.1912460327,28.6368598938,29.6290330887,28.8765029907,29.0927870274,30.4440608025,29.1132497787,28.8317790031,28.4612600803,28.6738851070,28.5146601200,28.2634258270,28.9972019196,28.9827070236,28.5499269962
6,23.2017409801,23.9449598789,23.6255929470,23.1357698441,23.3231468201,24.0867290497,24.4685378075,24.9451410770,24.6867020130,24.6059839725,23.0127139091,24.3711810112,24.2479269505,25.4362878799,24.4331560135,23.6459510326,24.2313919067,24.8320589066,24.9491698742,24.2426309586,24.2458150387,24.8913271427,24.0822899342,24.2190020084,24.2250738144,22.9917478561,23.4317369461,24.2655179501,24.4313309193,24.4091441631,24.4980490208,24.4493370056,24.6099600792,24.3045320511,23.7320671082,24.0678918362,24.3034498692,23.9790530205,24.7234289646,24.5654451847,25.3449440002,25.1168909073,23.2243461609,25.0388121605,23.1416609287,23.7971451283,24.9950590134,25.1966249943,24.7054111958,23.7137770653
7,22.4658551216,22.9132580757,22.6664850712,23.5737850666,22.5812301636,22.4713318348,22.3177711964,22.7675969601,22.4032800198,22.3282408714,22.9567549229,22.7338681221,22.8319020271,22.8151619434,22.9083170891,22.5319299698,22.8827688694,22.5643310547,22.5345611572,22.6544210911,22.4281411171,22.4825420380,22.2041921616,22.3729538918,22.7681341171,22.4740989208,23.1345908642,22.3090679646,22.7883410454,22.7116060257,23.5248899460,23.8733000755,22.5321228504,22.1005430222,22.5114450455,22.5088751316,22.5228149891,22.4406750202,22.6362109184,22.7011120319,22.5384750366,22.5261869431,22.7357299328,22.2824671268,22.2671990395,22.7593579292,22.4818489552,23.2675428391,22.0590360165,22.5470590591
8,19.3680720329,19.4985110760,19.5552439690,19.6754450798,19.5450019836,21.9485421181,19.4677751064,19.6942708492,20.1124258041,19.2243721485,19.6344909668,19.4814381599,20.1464109421,19.3934969902,19.3544180393,19.6460890770,19.4144830704,19.8711109161,19.4983007908,19.9419081211,19.4258458614,19.7385249138,20.3846910000,19.7609848976,20.7324731350,19.9515750408,19.3018388748,19.6461820602,19.6817791462,19.6429100037,19.9909579754,19.6859469414,19.9113848209,19.4182531834,19.2502458096,19.8414919376,19.7083740234,19.5298969746,19.4304239750,19.6872761250,19.6985309124,19.5707428455,19.4842619896,19.4143109322,19.3990089893,19.4785859585,19.4217879772,19.4098298550,19.8130290508,19.6395158768
9,17.5356879234,17.6254270077,17.3237769604,17.3595688343,17.6596050262,20.8798611164,19.4778380394,17.5815579891,21.9663159847,17.5081748962,17.6686010361,18.2769708633,17.4753520489,18.1846139431,18.1447079182,18.2299258709,19.0469799042,17.3596351147,17.4698548317,17.5457289219,17.6983339787,17.5984299183,17.5001628399,17.7922191620,17.6064000130,17.5579159260,18.1030340195,17.8722407818,17.6049120426,17.3827350140,17.4504649639,19.6348969936,20.5948100090,18.4506881237,17.3225860596,17.6138670444,17.6861760616,17.0709989071,17.6613578796,17.2392361164,17.5535190105,17.3640241623,17.6356940269,17.3023529053,17.4833800793,17.5384449959,17.5296101570,17.4738590717,17.4881451130,17.6494879723
10,15.8102588654,16.0030620098,16.1792018414,15.8582639694,15.6924149990,15.8150300980,16.3321638107,15.8740799427,16.0601079464,16.5107331276,16.0859999657,15.7013590336,15.7610490322,15.6558549404,16.2872769833,15.9613051414,16.2312169075,16.0055930614,16.1650800705,16.1458189487,15.8880300522,16.2002508640,15.8224971294,15.5952639580,15.8561120033,15.7287099361,15.6873378754,15.6939680576,16.5789699554,15.6229619980,15.6971180439,15.8674690723,15.9329981804,15.5498929024,15.7360210419,16.2801179886,16.0030012131,15.9098279476,15.7173900604,15.7248101234,15.9159440994,15.8028378487,15.8835699558,15.8477098942,15.9026648998,15.8566529751,15.6568071842,15.8060901165,16.2706348896,15.6338829994
