N,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time
1,111.6156489849,110.4726889133,113.0862488747,112.1475739479,117.2308979034,112.0929310322,111.4148120880,114.3472051620,114.0608530045,114.2334728241,110.7391350269,111.3779470921,113.3556551933,112.4084100723,116.0173459053,112.6237430573,111.9294741154,111.9047260284,112.9928390980,113.4314649105,113.0790898800,112.2601158619,114.0819480419,112.7286000252,111.6574389935,114.8697478771,112.5509550571,112.6599111557,113.3975930214,112.6785490513,112.5615019798,109.4965579510,113.8899831772,110.2086479664,113.2778780460,109.6677350998,116.4425210953,112.1633110046,110.8904750347,111.1802120209,112.5536448956,113.9407498837,114.9120979309,113.4611260891,108.9628968239,111.2580568790,110.4695911407,108.4014449120,114.3776578903,112.1764538288
2,114.5804469585,111.6396248341,117.0974299908,115.5574870110,113.5469479561,117.1069569588,110.7655119896,110.7901289463,114.6202571392,113.1613428593,112.5333900452,113.1887259483,113.6428649426,112.4187409878,112.5977880955,112.0573930740,114.3148479462,111.2851369381,112.3189830780,112.8421330452,111.0104870796,113.3518409729,109.6845929623,109.8875811100,109.5771520138,111.4504790306,111.6563110352,108.9407229424,111.3428890705,110.4825980663,112.7444748878,110.3540999889,111.8444118500,123.2595801353,109.8907339573,112.4892210960,111.1565840244,112.8703601360,110.4167890549,111.3119788170,108.8801720142,113.7116940022,109.3806629181,136.2274308205,134.1682519913,131.1400039196,130.5975599289,131.2034499645,129.8624458313,131.7489879131
3,133.0421891212,136.2428729534,134.1339228153,133.4379501343,136.1479020119,136.5278489590,135.3470499516,136.1424891949,137.8775110245,135.7382919788,135.9877219200,134.9290869236,140.0156679153,133.4242391586,136.7749691010,129.2125718594,123.8664329052,124.9852168560,124.9303050041,127.6860198975,127.1075501442,128.2673261166,139.8146841526,137.7020130157,135.0322678089,135.9843130112,133.8588879108,135.6696958542,134.3771991730,137.1681699753,140.7476310730,134.1615419388,132.2722589970,133.3630540371,134.2060339451,135.3705039024,138.3611609936,137.1637849808,136.3018751144,133.6735858917,134.9259631634,133.5206179619,136.5123078823,127.2637338638,124.8651268482,124.7437288761,129.0512409210,124.0146749020,123.1557590961,129.0202660561
4,136.0564088821,134.3126609325,135.6902799606,137.2383868694,136.6733801365,139.2320749760,140.6261260509,137.3371088505,137.6137280464,138.9783360958,136.7694909573,139.9180979729,139.8329911232,135.4604649544,134.4247298241,136.0487458706,136.1133139133,133.9217109680,133.2818310261,134.6626319885,132.4853179455,133.1736941338,130.1380851269,131.6068019867,131.3836719990,128.0547590256,126.7315628529,132.9988961220,139.7778899670,137.8429450989,135.9312310219,136.8616387844,134.5509440899,135.6428849697,136.6094770432,139.1701829433,135.0735228062,141.6717829704,136.9756610394,142.6441478729,137.2066488266,136.5297811031,139.3956232071,135.5805211067,136.5260920525,136.3664281368,138.6975429058,148.2282099724,128.2844707966,130.7816450596
5,134.1938748360,129.0247139931,130.9880559444,135.4448318481,137.3698351383,140.1399981976,138.1033849716,135.5968599319,140.8637900352,137.2665071487,135.8415179253,135.6847889423,140.9028120041,148.3278651237,135.7450430393,141.3700978756,141.5852560997,137.7837510109,146.5758669376,135.1826190948,136.9959940910,136.7751867771,135.0464370251,133.6252188683,132.7144308090,129.5755529404,134.1514751911,129.7289459705,129.7496478558,138.3642649651,134.6360018253,135.8874499798,136.7622690201,133.8235380650,132.6278510094,133.5136599541,133.1185309887,135.0602538586,137.0905039310,139.9513139725,140.8494050503,140.4483029842,137.0842709541,137.6651558876,151.4944870472,136.3239080906,138.1789970398,135.6132209301,138.0062451363,137.7405140400
6,134.9161701202,131.9945569038,133.3591530323,133.1416821480,141.7174968719,131.1792459488,133.0305130482,136.3518800735,137.1832840443,140.5826990604,138.4459347725,137.5927639008,138.9494130611,133.7053399086,134.7417800426,141.9693250656,140.6707320213,137.4004778862,140.0183281898,142.2752928734,136.8891057968,139.7606799603,136.6921930313,139.3211770058,139.0287609100,139.6269719601,138.0618410110,140.0330660343,135.6228649616,129.9308309555,133.3736529350,134.0303180218,136.3330979347,131.8995001316,134.0171098709,134.2634170055,134.8617391586,133.1855440140,135.3311839104,135.7501718998,136.7179329395,139.3189628124,137.3985240459,141.2256770134,141.4718918800,141.2736949921,140.8669929504,137.7976660728,138.2131259441,139.2190649509
7,153.8359580040,154.4483461380,155.3497371674,153.7537519932,155.3504180908,156.4571239948,155.8786039352,155.4174320698,156.3823220730,154.2143170834,146.9705629349,148.2409679890,149.6861979961,148.8037700653,149.1574859619,156.5590720177,155.0281331539,153.6266970634,155.3962981701,153.4955270290,153.6442620754,154.3518359661,153.1510879993,151.0009851456,156.9186768532,155.2980020046,153.9802749157,153.6895399094,155.0544300079,158.0393741131,156.5135600567,152.7792079449,151.9328818321,150.1308290958,148.0785489082,146.6251981258,149.2308681011,148.0398278236,152.4545519352,157.0069200993,153.6841909885,152.3939371109,152.4612040520,154.5251660347,153.6404740810,150.8016541004,153.1584980488,151.6098630428,151.5018501282,152.2964301109
8,152.9385409355,151.4929919243,155.8050470352,153.8707880974,159.2632970810,153.5414288044,153.9922769070,145.2187781334,144.7176909447,146.9642219543,144.7787561417,148.1063930988,151.0277481079,154.0729191303,155.9161899090,158.2427940369,156.7778100967,153.1216189861,158.1254930496,160.0136160851,156.3028960228,152.4358861446,163.6282238960,154.4283130169,155.4500629902,155.3262801170,154.1928219795,154.6421368122,155.5135438442,154.5292379856,153.5319809914,146.2142488956,147.5547318459,145.6915271282,142.6977279186,146.2806260586,150.9123959541,158.1132888794,158.4653079510,156.0015110970,155.3999490738,155.8796970844,156.1579110622,155.6189270020,155.2791249752,156.5878629684,155.1830899715,151.9905967712,155.2195429802,153.2843828201
9,154.6592869759,159.2560579777,154.4868650436,151.0093760490,146.8153381348,145.9796941280,146.5443627834,148.8691380024,145.5106389523,154.9055359364,156.6611328125,156.2236680984,150.8440730572,152.1582159996,154.9898221493,151.0120859146,152.9392790794,152.9274079800,154.8838081360,156.0587100983,156.3765239716,157.1221768856,154.0695800781,153.0992588997,156.3523969650,151.6741440296,151.7338199615,148.1201899052,145.2142419815,142.3600161076,148.3052630424,145.4422578812,152.3434929848,150.6581299305,152.1712388992,154.1742341518,155.0953261852,151.4040060043,150.2158880234,153.2753179073,153.5918149948,153.4364969730,153.6596100330,152.1222441196,152.3905971050,151.1220588684,151.8109309673,160.2746880054,154.4686641693,155.3067700863
10,154.7801480293,151.7947509289,146.8739700317,146.6335659027,148.8705899715,146.0083029270,147.9679920673,152.5632390976,151.2032968998,150.3512661457,158.4958109856,151.9290230274,151.1021947861,162.2804281712,154.4923038483,150.2373790741,159.1442410946,153.7648589611,151.1991100311,149.3105888367,150.7883172035,150.0928089619,148.7421059608,154.2307159901,151.2775709629,152.0215251446,152.4435751438,148.2258780003,148.2655808926,155.1424989700,145.3661780357,151.8084979057,146.6036398411,147.1437819004,147.4700760841,149.5847589970,146.9517078400,146.5357279778,146.0330591202,148.0369617939,146.2156960964,147.0271131992,147.4864618778,146.9678568840,146.0249538422,151.1232509613,147.8753299713,146.3854038715,147.3468508720,148.4932570457
11,149.7550711632,146.9278700352,147.4956469536,151.0133891106,146.5536489487,146.8778288364,149.1568899155,148.6959831715,146.3683550358,146.9836940765,151.0203740597,147.8687200546,145.2800130844,145.8967549801,146.5878040791,146.2973709106,149.1514828205,147.8795750141,145.6895148754,147.6624269485,148.8564460278,146.3880319595,149.1019649506,146.8670110703,146.7806200981,152.9974870682,146.9094130993,146.0561969280,147.1720430851,146.1797509193,147.4166469574,146.3690199852,148.2718191147,148.9350988865,150.9272499084,146.0103509426,152.7172019482,147.6315290928,147.2703249454,148.0094769001,148.9485239983,148.4172492027,148.0741190910,147.0126800537,150.6207120419,147.6240921021,150.3835799694,147.0610938072,152.7516088486,145.1892919540
12,145.6696641445,149.0725660324,146.3081839085,149.9380929470,149.5859830379,151.1911821365,144.4754269123,148.6277220249,145.6760869026,148.3480169773,145.3977870941,149.7838189602,145.1590468884,147.1205449104,146.8954069614,147.0749580860,149.4133329391,147.1126561165,148.0717561245,150.7533710003,150.3631539345,147.4564118385,146.4436328411,146.2215709686,146.7558078766,152.6132130623,145.3448579311,148.2818541527,151.8729281425,148.0251209736,145.9847378731,145.6731929779,144.7856051922,146.5251638889,149.4458429813,145.3598060608,144.9717609882,145.8162951469,145.3595108986,145.0084528923,145.6981379986,145.8104028702,145.0889399052,146.3033728600,146.6638379097,150.1561071873,149.8180871010,152.3237099648,151.4410519600,151.2880890369
